A,Agilent Technolog,NYSE,
B,Barnes Group,NYSE,
C,Citigroup,NYSE,
D,Dominion Resource,NYSE,
E,ENI S.p.A. Common,NYSE,
F,Ford Motor Compan,NYSE,
G,Genpact Limited C,NYSE,
H,Hyatt Hotels Corp,NYSE,
K,Kellogg Company C,NYSE,
L,Loews Corporation,NYSE,
M,Macy's Inc Common,NYSE,
N,Netsuite Inc Comm,NYSE,
O,Realty Income Cor,NYSE,
P,Pandora Media,NYSE,
R,Ryder System,NYSE,
S,Sprint  Nextel Co,NYSE,
T,AT&T Inc.,NYSE,
V,Visa Inc. Visa In,NYSE,
X,United States Ste,NYSE,
Y,Alleghany Corpora,NYSE,
Z,Zillow,NGM,
AA,Alcoa Inc. Common,NYSE,
AB,Allianceberstein ,NYSE,
AE,Adams Resources &,AMEX,
AF,Astoria Financial,NYSE,
AG,First Majestic Si,NYSE,
AH,Accretive Health,NYSE,
AI,Arlington Asset I,NYSE,
AL,Air Lease Corpora,NYSE,
AM,American Greeting,NYSE,
AN,AutoNation,NYSE,
AP,Ampco-Pittsburgh ,NYSE,
AT,Atlantic Power Co,NYSE,
AU,AngloGold Ashanti,NYSE,
AV,Aviva plc Unspons,NYSE,
BA,Boeing Company (T,NYSE,
BC,Brunswick Corpora,NYSE,
BG,Bunge Limited Bun,NYSE,
BH,Biglari Holdings ,NYSE,
BK,Bank of New York ,NYSE,
BP,BP p.l.c. Common ,NYSE,
BR,Broadridge Financ,NYSE,
BT,BT Group plc Comm,NYSE,
BX,The Blackstone Gr,NYSE,
BZ,Boise Inc.,NYSE,
CA,CA Inc.,NasdaqNM,
CB,Chubb Corporation,NYSE,
CE,Celanese Corporat,NYSE,
CF,CF Industries Hol,NYSE,
CH,Aberdeen Chile Fu,AMEX,
CI,CIGNA Corporation,NYSE,
CL,Colgate-Palmolive,NYSE,
CM,Canadian Imperial,NYSE,
CO,China Cord Blood ,NYSE,
CP,Canadian Pacific ,NYSE,
CR,Crane Company Com,NYSE,
CS,Credit Suisse Gro,NYSE,
CT,Capital Trust,NYSE,
CU,First Trust ISE G,NGM,
CV,Central Vermont P,NYSE,
CW,Curtiss-Wright Co,NYSE,
CX,Cemex,NYSE,
CY,Cypress Semicondu,NasdaqNM,
DB,Deutsche Bank AG ,NYSE,
DD,E.I. du Pont de N,NYSE,
DE,Deere & Company C,NYSE,
DF,Dean Foods Compan,NYSE,
DG,Dollar General Co,NYSE,
DK,Delek US Holdings,NYSE,
DL,China Distance Ed,NYSE,
DM,Dolan Company (Th,NYSE,
DO,Diamond Offshore ,NYSE,
DQ,DAQQ New Energy C,NYSE,
DV,DeVry Inc. Common,NYSE,
DW,Drew Industries I,NYSE,
DX,Dynex Capital,NYSE,
DY,Dycom Industries,NYSE,
EC,Ecopetrol S.A. Am,NYSE,
ED,Consolidated Edis,NYSE,
EE,El Paso Electric ,NYSE,
EF,Edelman Financial,NasdaqNM,
EJ,E-House (China) H,NYSE,
EK,Eastman Kodak Com,NYSE,
EL,Estee Lauder Comp,NYSE,
EP,El Paso Corporati,NYSE,
ES,EnergySolutions I,NYSE,
EU,WisdomTree Euro D,PCX,
EV,Eaton Vance Corpo,NYSE,
EW,Edwards Lifescien,NYSE,
FC,Franklin Covey Co,NYSE,
FE,FirstEnergy Corpo,NYSE,
FF,FutureFuel Corp. ,NYSE,
FL,Footlocker Inc.,NYSE,
FN,Fabrinet Ordinary,NYSE,
FR,First Industrial ,NYSE,
FT,Franklin Universa,NYSE,
GA,Giant Interactive,NYSE,
GB,Greatbatch,NYSE,
GD,General Dynamics ,NYSE,
GE,General Electric ,NYSE,
GF,New Germany Fund,NYSE,
GG,Goldcorp Incorpor,NYSE,
GM,General Motors Co,NYSE,
GR,Goodrich Corporat,NYSE,
GS,Goldman Sachs Gro,NYSE,
GT,Goodyear Tire & R,NYSE,
GU,Gushan Environmen,NYSE,
GV,Goldfield Corpora,AMEX,
GY,GenCorp Inc. Comm,NYSE,
HA,Hawaiian Holdings,NasdaqNM,
HD,Home Depot,NYSE,
HE,Hawaiian Electric,NYSE,
HF,HFF,NYSE,
HH,Hooper Holmes,AMEX,
HI,Hillenbrand Inc C,NYSE,
HL,Hecla Mining Comp,NYSE,
HP,Helmerich & Payne,NYSE,
HR,Healthcare Realty,NYSE,
HS,Healthspring,NYSE,
HT,Hersha Hospitalit,NYSE,
HW,Headwaters Incorp,NYSE,
IF,Aberdeen Indonesi,AMEX,
IG,IGI,AMEX,
IL,IntraLinks Holdin,NYSE,
IM,Ingram Micro Inc.,NYSE,
IN,Intermec Inc. Com,NYSE,
IO,Ion Geophysical C,NYSE,
IP,International Pap,NYSE,
IR,Ingersoll-Rand pl,NYSE,
IT,Gartner,NYSE,
IX,Orix Corp Ads Com,NYSE,
JO,iPath DJ-UBS Coff,PCX,
KB,KB Financial Grou,NYSE,
KF,Korea Fund,NYSE,
KH,China Kanghui Hol,NYSE,
KO,Coca-Cola Company,NYSE,
KR,Kroger Company (T,NYSE,
KS,KapStone Paper an,NYSE,
KT,KT Corporation Co,NYSE,
KW,Kennedy-Wilson Ho,NYSE,
LD,iPath DJ-UBS Lead,PCX,
LF,Leapfrog Enterpri,NYSE,
LG,Laclede Gas Compa,NYSE,
LH,Laboratory Corpor,NYSE,
LL,Lumber Liquidator,NYSE,
LM,Legg Mason,NYSE,
LO,Lorillard,NYSE,
LZ,Lubrizol Corporat,NYSE,
MA,Mastercard Incorp,NYSE,
MD,Mednax,NYSE,
MG,Mistras Group Inc,NYSE,
MO,Altria Group,NYSE,
MR,Mindray Medical I,NYSE,
MS,Morgan Stanley Co,NYSE,
MT,Arcelor Mittal NY,NYSE,
MU,Micron Technology,NasdaqNM,
MW,Men's Wearhouse,NYSE,
MX,MagnaChip Semicon,NYSE,
MY,China Ming Yang W,NYSE,
NC,NACCO Industries,NYSE,
NE,Noble Corporation,NYSE,
NG,Novagold Resource,AMEX,
NI,NiSource Inc Comm,NYSE,
NJ,Nidec Corporation,NYSE,
NL,NL Industries,NYSE,
NM,Navios Maritime H,NYSE,
NP,Neenah Paper,NYSE,
NQ,NetQin Mobile Inc,NYSE,
NR,Newpark Resources,NYSE,
NS,Nustar Energy L.P,NYSE,
NU,Northeast Utiliti,NYSE,
NX,Quanex Building P,NYSE,
NY,iShares NYSE 100 ,PCX,
OB,OneBeacon Insuran,NYSE,
OC,Owens Corning Inc,NYSE,
OI,Owens-Illinois,NYSE,
PC,Panasonic Corpora,NYSE,
PG,Procter & Gamble ,NYSE,
PH,Parker-Hannifin C,NYSE,
PL,Protective Life C,NYSE,
PM,Philip Morris Int,NYSE,
PQ,Petroquest Energy,NYSE,
PT,Portugal Telecom ,NYSE,
PW,Pittsburgh & West,AMEX,
PX,Praxair,NYSE,
RA,RailAmerica,NYSE,
RC,Grupo Radio Centr,NYSE,
RE,Everest Re Group,NYSE,
RF,Regions Financial,NYSE,
RL,Ralph Lauren Corp,NYSE,
RP,RealPage,NasdaqNM,
RS,Reliance Steel & ,NYSE,
RT,Ruby Tuesday,NYSE,
RY,Royal Bank Of Can,NYSE,
SA,Seabridge Gold,AMEX,
SB,Safe Bulkers,NYSE,
SD,Sandridge Energy ,NYSE,
SE,Spectra Energy Co,NYSE,
SF,Stifel Financial ,NYSE,
SH,ProShares Short S,PCX,
SI,Siemens AG Americ,NYSE,
SM,SM Energy Company,NYSE,
SO,Southern Company ,NYSE,
SR,Standard Register,NYSE,
ST,Sensata Technolog,NYSE,
SU,Suncor Energy  In,NYSE,
TA,TravelCenters of ,AMEX,
TC,Thompson Creek Me,NYSE,
TD,Toronto Dominion ,NYSE,
TE,TECO Energy,NYSE,
TF,Thai Capital Fund,AMEX,
TG,Tredegar Corporat,NYSE,
TI,Telecom Italia S.,NYSE,
TK,Teekay Corporatio,NYSE,
TM,Toyota Motor Corp,NYSE,
TR,Tootsie Roll Indu,NYSE,
TS,Tenaris S.A. Amer,NYSE,
TU,TELUS Corporation,NYSE,
TV,Grupo Televisa S.,NYSE,
TW,Towers Watson & C,NYSE,
TX,Ternium S.A. Tern,NYSE,
TY,Tri Continental C,NYSE,
UA,Under Armour,NYSE,
UG,United-Guardian,NGM,
UL,Unilever PLC Comm,NYSE,
UN,Unilever NV Commo,NYSE,
VB,Vanguard Small-Ca,PCX,
VC,Visteon Corporati,NYSE,
VE,Veolia Environn A,NYSE,
VG,Vonage Holdings C,NYSE,
VO,Vanguard Mid-Cap ,PCX,
VQ,Venoco,NYSE,
VR,Validus Holdings,NYSE,
VT,Vanguard Total Wo,PCX,
VV,Vanguard Large-Ca,PCX,
VZ,Verizon Communica,NYSE,
WD,Walker & Dunlop,NYSE,
WF,Woori Finance Hol,NYSE,
WG,Willbros Group,NYSE,
WH,WSP Holdings Limi,NYSE,
WM,Waste Management,NYSE,
WR,Westar Energy,NYSE,
WU,Western Union Com,NYSE,
WX,WuXi PharmaTech (,NYSE,
WY,Weyerhaeuser Comp,NYSE,
XG,Extorre Gold Mine,AMEX,
XL,XL Group plc,NYSE,
ZA,Zuoan Fashion Lim,NYSE,
ZF,Zweig Fund,NYSE,
ZN,Zion Oil & Gas In,NGM,
ZX,China Zenix Auto ,NYSE,
ZZ,Sealy Corporation,NYSE,
AAC,Australia Acquisi,NCM,
AAN,Aaron's,NYSE,
AAP,Advance Auto Part,NYSE,
AAR,AMR Corporation,NYSE,
AAT,American Assets T,NYSE,
AAU,Almaden Minerals,AMEX,
AAV,Advantage Oil & G,NYSE,
ABB,ABB Ltd Common St,NYSE,
ABC,AmerisourceBergen,NYSE,
ABD,Acco Brands Corpo,NYSE,
ABG,Asbury Automotive,NYSE,
ABH,AbitibiBowater In,NYSE,
ABI,Safety First Trus,PCX,
ABL,American Biltrite,AMEX,
ABM,ABM Industries In,NYSE,
ABR,Arbor Realty Trus,NYSE,
ABT,Abbott Laboratori,NYSE,
ABV,Companhia de Bebi,NYSE,
ABX,Barrick Gold Corp,NYSE,
ACC,American Campus C,NYSE,
ACE,Ace Limited Commo,NYSE,
ACG,Alliancebernstein,NYSE,
ACH,Aluminum Corporat,NYSE,
ACI,Arch Coal,NYSE,
ACK,Bank of America C,PCX,
ACL,Alcon Inc Common ,NYSE,
ACM,Aecom Technology ,NYSE,
ACN,Accenture plc. Cl,NYSE,
ACO,Amcol Internation,NYSE,
ACP,Avenue Income Cre,NYSE,
ACU,Acme United Corpo,AMEX,
ACW,Accuride Corporat,NYSE,
ACY,AeroCentury Corp.,AMEX,
ADC,Agree Realty Corp,NYSE,
ADF,Bank of America C,PCX,
ADI,Analog Devices,NYSE,
ADJ,Bank of America C,PCX,
ADK,Adcare Health Sys,AMEX,
ADM,Archer-Daniels-Mi,NYSE,
ADP,Automatic Data Pr,NasdaqNM,
ADS,Alliance Data Sys,NYSE,
ADX,Adams Express Com,NYSE,
ADY,Feihe Internation,NYSE,
ADZ,DB Agriculture Sh,PCX,
AEA,Advance America,NYSE,
AEB,AEGON N.V. Perp. ,NYSE,
AEC,Associated Estate,NYSE,
AED,AEGON N.V. Perp. ,NYSE,
AEE,Ameren Corporatio,NYSE,
AEF,Aegon NV Perpetua,NYSE,
AEG,AEGON N.V. Common,NYSE,
AEH,AEGON N.V. Perp. ,NYSE,
AEL,American Equity I,NYSE,
AEM,Agnico-Eagle Mine,NYSE,
AEN,Adeona Pharmaceut,AMEX,
AEO,American Eagle Ou,NYSE,
AEP,American Electric,NYSE,
AER,Aercap Holdings N,NYSE,
AES,The AES Corporati,NYSE,
AET,Aetna Inc. Common,NYSE,
AEV,Aegon NV Perpetua,NYSE,
AEY,ADDvantage Techno,NGM,
AFB,AllianceBernstein,NYSE,
AFC,Allied Capital Co,NYSE,
AFE,American Financia,NYSE,
AFF,American Internat,NYSE,
AFG,American Financia,NYSE,
AFK,Market Vectors-Af,PCX,
AFL,AFLAC Incorporate,NYSE,
AFO,Safety First Trus,PCX,
AFQ,American Financia,NYSE,
AFT,Apollo Senior Flo,NYSE,
AGA,DB Agriculture Sh,PCX,
AGC,Advent Claymore C,NYSE,
AGD,Alpine Global Dyn,NYSE,
AGF,DB Agriculture Lo,PCX,
AGG,iShares Barclays ,PCX,
AGL,AGL Resources,NYSE,
AGM,Federal Agricultu,NYSE,
AGN,Allergan,NYSE,
AGO,Assured Guaranty ,NYSE,
AGP,AMERIGROUP Corpor,NYSE,
AGQ,ProShares Ultra S,PCX,
AGR,AB Svensk Ekportk,PCX,
AGU,Agrium Inc. Commo,NYSE,
AGX,Argan,AMEX,
AGZ,iShares Barclays ,PCX,
AHB,Safety First Trus,PCX,
AHC,A.H. Belo Corpora,NYSE,
AHL,Aspen Insurance H,NYSE,
AHS,AMN Healthcare Se,NYSE,
AHT,Ashford Hospitali,NYSE,
AHY,Safety First Trus,PCX,
AIA,iShares S&P Asia ,PCX,
AIG,American Internat,NYSE,
AIM,Aerosonic Corpora,AMEX,
AIN,Albany Internatio,NYSE,
AIP,Hadera Paper Ltd.,AMEX,
AIQ,Alliance HealthCa,NYSE,
AIR,AAR Corp. Common ,NYSE,
AIS,Antares Pharma,AMEX,
AIT,Applied Industria,NYSE,
AIV,Apartment Investm,NYSE,
AIZ,Assurant,NYSE,
AJB,Safety First Trus,PCX,
AJG,Arthur J. Gallagh,NYSE,
AKE,Safety First Trus,PCX,
AKN,Safety First Trus,PCX,
AKP,Alliance Californ,NYSE,
AKR,Acadia Realty Tru,NYSE,
AKS,AK Steel Holding ,NYSE,
ALB,Albemarle Corpora,NYSE,
ALC,Assisted Living C,NYSE,
ALD,WisdomTree Asia L,PCX,
ALE,Allete,NYSE,
ALG,Alamo Group,NYSE,
ALJ,Alon USA Energy,NYSE,
ALK,Alaska Air Group,NYSE,
ALL,Allstate Corporat,NYSE,
ALM,Alabama Power Com,NYSE,
ALN,American Lorain C,AMEX,
ALO,Bank of America C,PCX,
ALR,Alere Inc. Common,NYSE,
ALT,iShares Diversifi,PCX,
ALU,Alcatel-Lucent Co,NYSE,
ALV,Autoliv,NYSE,
ALX,Alexander's,NYSE,
ALY,Allis-Chalmers En,NYSE,
AMD,Advanced Micro De,NYSE,
AME,AMETEK,NYSE,
AMG,Affiliated Manage,NYSE,
AMJ,JPMorgan Chase Ca,PCX,
AMM,Safety First Trus,PCX,
AMP,Ameriprise Financ,NYSE,
AMR,AMR Corporation C,NYSE,
AMS,American Shared H,AMEX,
AMT,American Tower Co,NYSE,
AMX,America Movil,NYSE,
AMY,AB Svensk Ekportk,PCX,
AND,Global X FTSE And,PCX,
ANF,Abercrombie & Fit,NYSE,
ANH,Anworth Mortgage ,NYSE,
ANN,ANN INC. Common S,NYSE,
ANO,Anooraq Resources,AMEX,
ANR,Alpha Natural Res,NYSE,
ANV,Allied Nevada Gol,AMEX,
ANW,Aegean Marine Pet,NYSE,
ANX,ADVENTRX Pharmace,AMEX,
AOA,iShares S&P Aggre,PCX,
AOB,American Oriental,NYSE,
AOD,Alpine Total Dyna,NYSE,
AOI,Alliance One Inte,NYSE,
AOK,iShares S&P Conse,PCX,
AOL,AOL Inc. AOL Inc.,NYSE,
AOM,iShares S&P Moder,PCX,
AON,Aon Corporation C,NYSE,
AOR,iShares S&P Growt,PCX,
AOS,A.O. Smith Corpor,NYSE,
APA,Apache Corporatio,NYSE,
APB,Asia Pacific Fund,NYSE,
APC,Anadarko Petroleu,NYSE,
APD,Air Products and ,NYSE,
APF,Morgan Stanley As,NYSE,
APH,Amphenol Corporat,NYSE,
API,Advanced Photonix,AMEX,
APL,Atlas Pipeline Pa,NYSE,
APO,Apollo Global Man,NYSE,
APP,American Apparel ,AMEX,
APT,Alpha Pro Tech,AMEX,
APU,AmeriGas Partners,NYSE,
AQQ,American Spectrum,AMEX,
ARB,Arbitron Inc. Com,NYSE,
ARC,American Reprogra,NYSE,
ARE,Alexandria Real E,NYSE,
ARG,Airgas,NYSE,
ARI,Apollo Commercial,NYSE,
ARK,Blackrock Senior ,NYSE,
ARL,American Realty I,NYSE,
ARO,Aeropostale Inc C,NYSE,
ARR,ARMOUR Residentia,NYSE,
ART,ARTIO GLOBAL INVE,NYSE,
ARW,Arrow Electronics,NYSE,
ARX,Aeroflex Holding ,NYSE,
ARY,Ares Capital Corp,NYSE,
ASA,ASA  Gold and Pre,NYSE,
ASG,Liberty All-Star ,NYSE,
ASH,Ashland Inc. (NEW,NYSE,
ASI,American Safety I,NYSE,
ASM,Avino Silver & Go,AMEX,
ASP,American Strategi,NYSE,
ASR,Grupo Aeroportuar,NYSE,
ASX,Advanced Semicond,NYSE,
ATA,Safety First Trus,PCX,
ATC,Cycle Country Acc,AMEX,
ATE,Advantest Corpora,NYSE,
ATI,Allegheny Technol,NYSE,
ATK,Alliant Techsyste,NYSE,
ATO,Atmos Energy Corp,NYSE,
ATR,AptarGroup,NYSE,
ATT,AT&T Inc. Senior ,NYSE,
ATU,Actuant Corporati,NYSE,
ATV,Acorn Internation,NYSE,
ATW,Atwood Oceanics,NYSE,
ATX,Cross (A.T.) Comp,NGM,
AUD,Pimco Australia B,PCX,
AUO,AU Optronics Corp,NYSE,
AUQ,AuRico Gold Inc. ,NYSE,
AUY,Yamana Gold,NYSE,
AVA,Avista Corporatio,NYSE,
AVB,AvalonBay Communi,NYSE,
AVD,American Vanguard,NYSE,
AVF,AMERICAN INTERNAT,NYSE,
AVK,Advent Claymore C,NYSE,
AVL,Avalon Rare Metal,AMEX,
AVP,Avon Products,NYSE,
AVT,Avnet,NYSE,
AVX,AVX Corporation C,NYSE,
AVY,Avery Dennison Co,NYSE,
AWC,Alumina Ltd Ameri,NYSE,
AWF,Alliancebernstein,NYSE,
AWH,Allied World Assu,NYSE,
AWI,Armstrong World I,NYSE,
AWK,American Water Wo,NYSE,
AWP,Alpine Global Pre,NYSE,
AWR,American States W,NYSE,
AWX,Avalon Holdings C,AMEX,
AXE,Anixter Internati,NYSE,
AXK,Accelr8 Technolog,AMEX,
AXL,American Axle & M,NYSE,
AXN,Aoxing Pharmaceut,AMEX,
AXP,American Express ,NYSE,
AXR,AMREP Corporation,NYSE,
AXS,Axis Capital Hold,NYSE,
AXU,Alexco Resource C,AMEX,
AYI,Acuity Brands Inc,NYSE,
AYN,Alliance New York,NYSE,
AYR,Aircastle Limited,NYSE,
AYT,Barclays PLC ETN,PCX,
AZC,Augusta Resource ,AMEX,
AZK,Aurizon Mines,AMEX,
AZN,Astrazeneca PLC C,NYSE,
AZO,AutoZone,NYSE,
AZZ,AZZ Incorporated ,NYSE,
BAA,BANRO CORPORATION,AMEX,
BAB,PowerShares Build,PCX,
BAC,Bank of America C,NYSE,
BAF,BlackRock Municip,NYSE,
BAH,Booz Allen Hamilt,NYSE,
BAK,Braskem SA ADR,NYSE,
BAL,iPath DJ-UBS Cott,PCX,
BAM,Brookfield Asset ,NYSE,
BAP,Credicorp Ltd. Co,NYSE,
BAS,Basic Energy Serv,NYSE,
BAX,Baxter Internatio,NYSE,
BBD,Banco Bradesco Sa,NYSE,
BBF,BlackRock Municip,NYSE,
BBG,Bill Barrett Corp,NYSE,
BBH,Merrill Lynch & C,AMEX,
BBK,Blackrock Municip,NYSE,
BBL,BHP Billiton plc ,NYSE,
BBN,BlackRock Build A,NYSE,
BBT,BB&T Corporation ,NYSE,
BBW,Build-A-Bear Work,NYSE,
BBX,BankAtlantic Banc,NYSE,
BBY,Best Buy Co.,NYSE,
BCA,Corpbanca Sponsor,NYSE,
BCF,Blackrock Real As,NYSE,
BCH,Banco De Chile Ba,NYSE,
BCM,iPath Pure Beta B,PCX,
BCO,Brinks Company (T,NYSE,
BCR,C.R. Bard,NYSE,
BCS,Barclays PLC Comm,NYSE,
BCV,Bancroft Fund,AMEX,
BCX,BlackRock Resourc,NYSE,
BDC,Belden Inc Common,NYSE,
BDD,PowerShares DB Ba,PCX,
BDE,Black Diamond,NasdaqNM,
BDF,Rivus Bond Fund,NYSE,
BDG,PowerShares DB Ba,PCX,
BDH,Merrill Lynch & C,AMEX,
